autor,estilo
Craig David,"british soul, dance pop, urban contemporary, r&b, pop rap   ☷   ⓘ"
DMX,"hip hop, gangster rap, east coast hip hop, pop rap, rap, hardcore hip hop, southern hip hop   ☷   ⓘ"
DC,"chill drill, uk alternative hip hop   ☷   ⓘ"
 Ugly God,"vapor trap, viral rap, trap, meme rap, underground hip hop, rap   ☷   ⓘ"
LUDMILLA,"funk pop, pop nacional, pagode baiano, funk carioca   ☷   ⓘ"
 bj wnjn,"Related artists in: k-indie, k-rap, korean r&b, korean underground rap   ☷   ⓘ"
 Bad Gyal,"rap catala, neoperreo, trap catala, rap latina, urbano espanol   ☷   ⓘ"
MC Kevinho,"funk pop, funk carioca, arrocha, funk ostentacao   ☷   ⓘ"
 Yoko Ono,"experimental pop, experimental   ☷   ⓘ"
Tim Berg,"progressive electro house, edm, pop dance   ☷   ⓘ"
Shawn Hook,canadian pop   ☷   ⓘ
 Junior H,"sierreno, sad sierreno, corridos tumbados, nueva musica mexicana, musica mexicana   ☷   ⓘ"
Dalex,"r&b en espanol, urbano latino, reggaeton   ☷   ⓘ"
Brent Faiyaz,"dmv rap, r&b, pop, rap, hip hop   ☷   ⓘ"
 Maxwell,german hip hop   ☷   ⓘ
Bizarrap,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino   ☷   ⓘ"
Red Velvet,"k-pop girl group, k-pop   ☷   ⓘ"
 thasup,"trap italiana, italian pop, italian hip hop   ☷   ⓘ"
 Mavzer Tabancas,"Sorry, that one doesn't seem to be on any of these maps yet."
 Ezhel,"turkish trap, turkish hip hop   ☷   ⓘ"
Keith Urban,"contemporary country, country road, country, australian country, australian pop   ☷   ⓘ"
 Shay,"pop urbaine, francoton, french hip hop   ☷   ⓘ"
JAY,"Related artists in: country pop, contemporary country   ☷   ⓘ"
 Jay Hawkins,"Sorry, that one doesn't seem to be on any of these maps yet."
 Nicky Romero,"pop dance, edm, electro house, progressive electro house, dutch edm, big room, tropical house, progressive house, pop edm, dance pop   ☷   ⓘ"
Hugo ,thai folk   ☷   ⓘ
The Killers,"dance rock, permanent wave, alternative rock, rock   ☷   ⓘ"
 Kim,"Sorry, that one doesn't seem to be on any of these maps yet."
YoungBoy Never Broke Again,"baton rouge rap, trap   ☷   ⓘ"
 AVA,"Sorry, that one doesn't seem to be on any of these maps yet."
 Little Mix,"talent show, pop, girl group, uk pop, dance pop, post-teen pop   ☷   ⓘ"
 Billen Ted,"Related artists in: deep groove house, house, pop dance, uk dance, tropical house, edm, dance pop   ☷   ⓘ"
uicideboy,"Sorry, that one doesn't seem to be on any of these maps yet."
 MNEK,"uk dance, uk contemporary r&b   ☷   ⓘ"
 Florida Georgia Line,"contemporary country, country road, modern country rock, country, country pop   ☷   ⓘ"
 Moliy,"ghanaian alternative, nigerian pop   ☷   ⓘ"
 DJ Snake,"pop, electronic trap, dance pop, edm, pop dance, pop rap   ☷   ⓘ"
Stevie Wonder,"motown, soul, quiet storm, adult standards   ☷   ⓘ"
Creedence Clearwater Revival,"swamp rock, southern rock, classic rock, rock, country rock   ☷   ⓘ"
 Popcaan,"jamaican hip hop, dancehall, reggae fusion, traphall   ☷   ⓘ"
Romeo Santos,bachata   ☷   ⓘ
 Koba LaD,"pop urbaine, french hip hop, rap francais, francoton   ☷   ⓘ"
Guns N,"Sorry, that one doesn't seem to be on any of these maps yet."
Trinidad Cardona,"Related artists in: r&b, sped up, pop, rap, urban contemporary, pop r&b, pop rap, viral rap   ☷   ⓘ"
Armin van Buuren,"dutch trance, pop dance, trance, edm, progressive house   ☷   ⓘ"
 FP do Trem Bala,funk carioca   ☷   ⓘ
 Asees Kaur,"desi pop, modern bollywood, filmi   ☷   ⓘ"
 Adassa,"latin hip hop, reggaeton   ☷   ⓘ"
Kacey Musgraves,"country dawn, pop, texas country   ☷   ⓘ"
zzoilo,"Related artists in: rap espanol, spanish pop, urbano espanol   ☷   ⓘ"
H,"Sorry, that one doesn't seem to be on any of these maps yet."
 CMC,"Sorry, that one doesn't seem to be on any of these maps yet."
 Bootie Brown,"Related artists in: dominican pop, strut   ☷   ⓘ"
Taylor Swift,pop   ☷   ⓘ
 Elley Duh,"Sorry, that one doesn't seem to be on any of these maps yet."
Skylar Grey,"piano rock, viral pop   ☷   ⓘ"
w,"Sorry, that one doesn't seem to be on any of these maps yet."
KALUSH,"ukrainian viral pop, ukrainian hip hop, ukrainian pop   ☷   ⓘ"
 Jowell ,"perreo, latin hip hop, reggaeton flow, reggaeton   ☷   ⓘ"
Elton John,"glam rock, piano rock, mellow gold   ☷   ⓘ"
Christian Nodal,"mariachi, ranchera, nueva musica mexicana, musica mexicana   ☷   ⓘ"
 Lil Jon,"pop rap, old school atlanta hip hop, atl hip hop, crunk, southern hip hop, dirty south rap, dance pop   ☷   ⓘ"
 The Plug,"uk hip hop, uk drill   ☷   ⓘ"
Dimitri Vegas ,belgian edm   ☷   ⓘ
Natti Natasha,"rap latina, reggaeton, latin pop, urbano latino, latin hip hop   ☷   ⓘ"
Veysel,"german hip hop, german drill, albanian hip hop   ☷   ⓘ"
Money Man,"memphis hip hop, trap, rap, southern hip hop   ☷   ⓘ"
 GZA,"hip hop, hardcore hip hop, east coast hip hop, gangster rap, alternative hip hop, rap   ☷   ⓘ"
 Kali Uchis,"colombian pop, pop   ☷   ⓘ"
Dan ,"Sorry, that one doesn't seem to be on any of these maps yet."
Roddy Ricch,"melodic rap, rap, trap   ☷   ⓘ"
 BLACKPINK,"k-pop girl group, k-pop   ☷   ⓘ"
dhruv,"nyc pop, chill r&b, pop   ☷   ⓘ"
 Lyanno,"urbano latino, trap latino, trap boricua, reggaeton flow, reggaeton   ☷   ⓘ"
Tokischa,"trap dominicano, rap latina, dominican pop   ☷   ⓘ"
 Lennon Stella,"pop, canadian pop, alt z, electropop, post-teen pop   ☷   ⓘ"
 Bella Poarch,modern alternative pop   ☷   ⓘ
MC Rogerinho,"batidao romantico, arrocha, funk carioca   ☷   ⓘ"
 Gunna,"melodic rap, rap, atl hip hop, trap   ☷   ⓘ"
Kane Brown,"black americana, contemporary country, country road, country   ☷   ⓘ"
 Zoink Gang,"Sorry, that one doesn't seem to be on any of these maps yet."
AP Mob,"Sorry, that one doesn't seem to be on any of these maps yet."
AJR,modern rock   ☷   ⓘ
Bee Gees,"disco, soft rock, mellow gold   ☷   ⓘ"
DJ Durel,"Related artists in: trap, rap, southern hip hop, pop rap, hip hop, atl hip hop, melodic rap, gangster rap, cali rap, pop   ☷   ⓘ"
Connell,"pop, la indie, electropop, alt z   ☷   ⓘ"
 Ella Eyre,"uk pop, tropical house, dance pop, post-teen pop   ☷   ⓘ"
Ugly God,"vapor trap, viral rap, trap, meme rap, underground hip hop, rap   ☷   ⓘ"
Bryce Vine,"pop rap, pop, electropop   ☷   ⓘ"
Darlene Love,adult standards   ☷   ⓘ
 Kelly Ru,"Sorry, that one doesn't seem to be on any of these maps yet."
 AURORA,"art pop, norwegian pop   ☷   ⓘ"
Dad,"Sorry, that one doesn't seem to be on any of these maps yet."
Ryan Gosling,hollywood   ☷   ⓘ
 Wes,"Sorry, that one doesn't seem to be on any of these maps yet."
Nirvana,"grunge, permanent wave, rock   ☷   ⓘ"
Mau y Ricky,"pop venezolano, reggaeton, latin pop, urbano latino   ☷   ⓘ"
