autor,estilo
 Noah Cyrus,"pop, post-teen pop   ☷   ⓘ"
Flo Rida,"miami hip hop, dance pop, pop rap, pop, edm   ☷   ⓘ"
 Zoe Wees,german pop   ☷   ⓘ
 Jul,"Sorry, that one doesn't seem to be on any of these maps yet."
 Aazar,"electronic trap, electro house   ☷   ⓘ"
PARTYNEXTDOOR,"toronto rap, rap, r&b, trap, urban contemporary, pop   ☷   ⓘ"
Frank Sinatra,"adult standards, lounge, easy listening   ☷   ⓘ"
 Calcutta ,Related artists in: albuquerque indie   ☷   ⓘ
The Vamps,"pop, post-teen pop, boy band, dance pop   ☷   ⓘ"
SiM,"japanese screamo, japanese metalcore, j-rock   ☷   ⓘ"
 Mariah Angeliq,"rap latina, perreo, dominican pop, trap latino   ☷   ⓘ"
Sarah Cothran,gen z singer-songwriter   ☷   ⓘ
benny blanco,"pop, pop rap, electropop, dance pop, edm   ☷   ⓘ"
Lil Nas X,"lgbtq+ hip hop, pop   ☷   ⓘ"
 Mala Rodr,"Sorry, that one doesn't seem to be on any of these maps yet."
Nathan Evans,"Related artists in: antiviral pop, german pop, minecraft   ☷   ⓘ"
 DJ Kaioken,"Sorry, that one doesn't seem to be on any of these maps yet."
Louis Tomlinson,"pop, post-teen pop   ☷   ⓘ"
THE ANXIETY,modern alternative pop   ☷   ⓘ
 Jorge,"Sorry, that one doesn't seem to be on any of these maps yet."
Meghan Trainor,"pop, dance pop, hip pop, post-teen pop   ☷   ⓘ"
Capital Bra,german hip hop   ☷   ⓘ
 Whitney Houston,"dance pop, urban contemporary, pop   ☷   ⓘ"
Go,"Related artists in: latin funk, chilean rock, eurodance, bubblegum dance, hip house, chilean indie, europop, rap chileno, reggae en espanol, latin alternative   ☷   ⓘ"
Frank Ocean,"lgbtq+ hip hop, neo soul, hip hop, pop   ☷   ⓘ"
Paak,"Sorry, that one doesn't seem to be on any of these maps yet."
 SFR,"Sorry, that one doesn't seem to be on any of these maps yet."
Jessie J,"dance pop, pop, post-teen pop, pop rap   ☷   ⓘ"
Helene Fischer,"schlager, classic schlager   ☷   ⓘ"
Central Cee,melodic drill   ☷   ⓘ
XXXTENTACION,"miami hip hop, emo rap   ☷   ⓘ"
 Tion Wayne,london rap   ☷   ⓘ
Elena Tsagrinou,"Related artists in: greek pop, eurovision, laiko, cypriot pop   ☷   ⓘ"
 WILLOW,"afrofuturism, pop, post-teen pop   ☷   ⓘ"
 Luvli,"Related artists in: edm, pop dance, electro house, dance pop, pop, tropical house, progressive house, big room, house, pop rap   ☷   ⓘ"
 Hot Shade,"tropical house, pop dance, pop edm, edm   ☷   ⓘ"
 Arijit Singh,"modern bollywood, desi pop, filmi   ☷   ⓘ"
 Coez,"rome indie, italian pop, rap napoletano   ☷   ⓘ"
Sub Urban,"modern indie pop, viral rap   ☷   ⓘ"
HAIM,"metropopolis, indie pop   ☷   ⓘ"
 Lil Wayne,"rap, new orleans rap, pop rap, trap, hip hop   ☷   ⓘ"
 Felix of Stray Kids,"Sorry, that one doesn't seem to be on any of these maps yet."
 Mc Danny,rave funk   ☷   ⓘ
Logic,"dmv rap, conscious hip hop, rap, pop rap, hip hop   ☷   ⓘ"
FLETCHER,"pop, alt z, post-teen pop, electropop, dance pop   ☷   ⓘ"
 Rivers Cuomo,alternative rock   ☷   ⓘ
 Luch,"Sorry, that one doesn't seem to be on any of these maps yet."
Thalia,"mexican pop, latin pop, dance pop   ☷   ⓘ"
 Marrone,"Sorry, that one doesn't seem to be on any of these maps yet."
 Buni,uk drill   ☷   ⓘ
 Ados,turkish hip hop   ☷   ⓘ
Gucci Mane,"rap, trap, atl hip hop, southern hip hop, pop rap, dirty south rap, gangster rap, hip hop   ☷   ⓘ"
shadowraze,"russian drain, russian hip hop   ☷   ⓘ"
 Walshy Fire,instrumental funk   ☷   ⓘ
 Like Mike,belgian edm   ☷   ⓘ
Lana Del Rey,"pop, art pop   ☷   ⓘ"
Salmo,"rap sardegna, italian hip hop, italian underground hip hop   ☷   ⓘ"
 Headie One,uk hip hop   ☷   ⓘ
 MK,"house, pop dance, tropical house, dance pop, edm   ☷   ⓘ"
 Interplanetary Criminal,"breaks, experimental house   ☷   ⓘ"
Tom Walker,"uk pop, indie anthem-folk, pop   ☷   ⓘ"
Tom Petty,"rock, heartland rock, classic rock, mellow gold, album rock, pop rock, soft rock, singer-songwriter, folk rock, country rock   ☷   ⓘ"
 Snoop Dogg,"g funk, west coast rap, gangster rap, hip hop, rap, pop rap   ☷   ⓘ"
 Dave Stewart,"rock keyboard, new wave pop   ☷   ⓘ"
 Vanessa Paradis,"chanson, french pop, nouvelle chanson francaise, french rock   ☷   ⓘ"
 FAST BOY,"Sorry, that one doesn't seem to be on any of these maps yet."
 Mustard,"rap, trap, pop rap, southern hip hop, cali rap, hip hop, pop   ☷   ⓘ"
Paulo Londra,"argentine hip hop, trap argentino, trap latino   ☷   ⓘ"
 Gemitaiz,italian hip hop   ☷   ⓘ
 Mc Gw,"funk mtg, funk carioca, funk paulista, funk ostentacao   ☷   ⓘ"
 Yaviah,"latin hip hop, reggaeton, trap latino   ☷   ⓘ"
 Dom Kennedy,"rap, west coast trap, cali rap, southern hip hop, trap, underground hip hop, hip hop   ☷   ⓘ"
Felipe Original,"brega funk, arrochadeira, funk carioca   ☷   ⓘ"
 Problem,"west coast trap, hyphy, cali rap, trap, southern hip hop, pop rap, rap   ☷   ⓘ"
 AK AUSSERKONTROLLE,german hip hop   ☷   ⓘ
 Hamza,"rap belge, pop urbaine, french hip hop, belgian hip hop, rap francais   ☷   ⓘ"
NAYEON,"Related artists in: k-pop, k-pop girl group   ☷   ⓘ"
s Turning Red,"Related artists in: instrumental stoner rock, psychedelic doom, psychedelic space rock   ☷   ⓘ"
 Kodak Black,"melodic rap, miami hip hop, rap, florida rap, trap, hip hop   ☷   ⓘ"
 Neto ,"Related artists in: plug brasileiro, musica triste brasileira, trap pesado   ☷   ⓘ"
 Sabrina Carpenter,"pop, post-teen pop, dance pop, alt z   ☷   ⓘ"
 En Vogue,"girl group, hip pop, urban contemporary, contemporary r&b, r&b, neo soul, dance pop, hip hop   ☷   ⓘ"
 Jamule,"german hip hop, german trap   ☷   ⓘ"
RNS,"greek hip hop, greek underground rap   ☷   ⓘ"
Rachael Hunting,"Related artists in: reggaeton, perreo, trap latino, latin hip hop, reggaeton flow   ☷   ⓘ"
Yung Lean,"psychedelic hip hop, underground hip hop   ☷   ⓘ"
 Batid,"Sorry, that one doesn't seem to be on any of these maps yet."
 ElGrandeToto,"arabic hip hop, rap maroc, moroccan pop   ☷   ⓘ"
Freeze corleone,"drill francais, melodic drill, pop urbaine, french hip hop, rap francais   ☷   ⓘ"
SEVENTEEN,"k-pop boy group, k-pop   ☷   ⓘ"
 Amani,"kenyan pop, arab pop   ☷   ⓘ"
Nina Chuba,"hamburg hip hop, german hip hop   ☷   ⓘ"
 Theresa Rex,scandipop   ☷   ⓘ
Pinguini Tattici Nucleari,"bergamo indie, milan indie, italian pop, italian indie pop   ☷   ⓘ"
 Young Scooter,"atl trap, trap, drill, southern hip hop, gangster rap, vapor trap, rap   ☷   ⓘ"
 Slait,"Related artists in: italian hip hop, italian underground hip hop, italian pop, trap italiana, rap italiano old school, rap napoletano   ☷   ⓘ"
 BLANCO,"italian pop, italian hip hop   ☷   ⓘ"
Cali Y El Dandee,"reggaeton colombiano, colombian pop, champeta, electro latino, latin pop, reggaeton   ☷   ⓘ"
Matthew Wilder,new wave pop   ☷   ⓘ
 Central Cee,melodic drill   ☷   ⓘ
Twenty One Pilots,"modern rock, rock   ☷   ⓘ"
 Luis Figueroa,"Related artists in: tropical, salsa, cubaton, modern salsa, salsa cubana, bachata, bachata dominicana, salsa peruana, timba   ☷   ⓘ"
 Juan Mag,"Sorry, that one doesn't seem to be on any of these maps yet."
Erica Banks,"trap queen, viral rap   ☷   ⓘ"
BANDIDO,concurso de talentos argentino   ☷   ⓘ
 Takeoff,"atl hip hop, rap, trap, southern hip hop   ☷   ⓘ"
Topic,"german dance, pop dance, tropical house, edm, dance pop, electro house, pop edm   ☷   ⓘ"
 Andrez Babii,rap romantico   ☷   ⓘ
 Thalia,"mexican pop, latin pop, dance pop   ☷   ⓘ"
Doja Cat,"pop, dance pop   ☷   ⓘ"
Conkarah,jawaiian   ☷   ⓘ
 DrefGold,"trap italiana, italian hip hop   ☷   ⓘ"
 Tony Dize,"reggaeton, latin hip hop, trap latino   ☷   ⓘ"
Charly Black,"dancehall, jamaican dancehall   ☷   ⓘ"
Arcade Fire,"baroque pop, quebec indie, permanent wave, indie rock, modern rock, canadian indie, rock   ☷   ⓘ"
 Alessandra Amoroso,"italian pop, italian adult pop, italian pop rock   ☷   ⓘ"
 RIN,"german cloud rap, german hip hop   ☷   ⓘ"
BANNERS,"pop rock, indie poptimism, pop   ☷   ⓘ"
Mykola Dmytrovych Leontovych,"ukrainian classical, post-romantic era   ☷   ⓘ"
WILLOW,"afrofuturism, pop, post-teen pop   ☷   ⓘ"
Crush,"korean r&b, k-pop   ☷   ⓘ"
 Kadhja Bonet,"indie soul, psychedelic soul, alternative r&b, indie jazz   ☷   ⓘ"
syan,"Sorry, that one doesn't seem to be on any of these maps yet."
DripReport,viral rap   ☷   ⓘ
 Gabriela,"Related artists in: trap latino, reggaeton, latin hip hop, latin pop, puerto rican pop, reggaeton flow, bachata, rap latina   ☷   ⓘ"
Master KG,"bolobedu house, south african house   ☷   ⓘ"
mzjay,brazilian bass   ☷   ⓘ
 Buscabulla,"puerto rican indie, latintronica   ☷   ⓘ"
Burl Ives,"adult standards, american folk revival   ☷   ⓘ"
s Jhowzinho ,"Sorry, that one doesn't seem to be on any of these maps yet."
RIN,"german cloud rap, german hip hop   ☷   ⓘ"
 Rico Nasty,"trap queen, escape room, dmv rap, alternative r&b, rap, pop, dance pop   ☷   ⓘ"
UZI,turkish trap   ☷   ⓘ
Joyner Lucas,"boston hip hop, pop rap, rap, hip hop   ☷   ⓘ"
 Chuck D,"conscious hip hop, old school hip hop, east coast hip hop   ☷   ⓘ"
 Chelsea Cutler,"electropop, pop, alt z, tropical house   ☷   ⓘ"
Big Red Machine,"eau claire indie, folktronica, indie folk, indie pop, indie rock   ☷   ⓘ"
Pablito Pesadilla,trap latino   ☷   ⓘ
 Frauenarzt,german hip hop   ☷   ⓘ
 Nate Dogg,"gangster rap, g funk, west coast rap, hip hop, rap, pop rap   ☷   ⓘ"
Smiley,"toronto rap, canadian hip hop   ☷   ⓘ"
Avicii,"edm, pop dance, pop, pop rap, dance pop   ☷   ⓘ"
 Akon,dance pop   ☷   ⓘ
 Aloe Blacc,"pop soul, neo soul, r&b   ☷   ⓘ"
Slipknot,"rap metal, nu metal, alternative metal   ☷   ⓘ"
 Madison Beer,"pop, post-teen pop, dance pop, alt z, electropop   ☷   ⓘ"
 Victoria Mon,"Sorry, that one doesn't seem to be on any of these maps yet."
 John Legend,"pop soul, neo soul, r&b, urban contemporary, pop   ☷   ⓘ"
 David Guetta,"big room, dance pop, edm, pop dance, pop   ☷   ⓘ"
 Starrah,hyperpop francais   ☷   ⓘ
 John Lindahl,"Related artists in: chill r&b, r&b, indie r&b   ☷   ⓘ"
 Beth Gibbons,"solo wave, devon indie, trip hop, art pop, electronica   ☷   ⓘ"
Ivan Cornejo,"sad sierreno, nueva musica mexicana   ☷   ⓘ"
 MC Rita,funk carioca   ☷   ⓘ
 Lana Del Rey,"pop, art pop   ☷   ⓘ"
o Gustavo e Murilo,"sertanejo pop, sertanejo universitario, sertanejo, forro   ☷   ⓘ"
 Diane Guerrero,"Related artists in: hollywood, pop, show tunes   ☷   ⓘ"
Octavian,"afroswing, london rap, uk alternative hip hop, grime, uk hip hop   ☷   ⓘ"
 Trueno,"argentine hip hop, trap argentino, bases de freestyle, trap latino   ☷   ⓘ"
 Tory Lanez,"canadian trap, rap, toronto rap, melodic rap, pop rap, trap, canadian hip hop, r&b, pop   ☷   ⓘ"
 Charli XCX,"pop, electropop, dance pop, metropopolis, uk pop, candy pop, art pop, post-teen pop   ☷   ⓘ"
MARINA,"uk alternative pop, electropop, metropopolis, pop, dance pop   ☷   ⓘ"
vd,"Sorry, that one doesn't seem to be on any of these maps yet."
Blueface,"cali rap, trap   ☷   ⓘ"
 Rels B,"r&b en espanol, spanish hip hop, urbano espanol, trap latino   ☷   ⓘ"
Tayrone,"arrocha, sertanejo pop, forro   ☷   ⓘ"
MiC LOWRY,"Related artists in: pop r&b, r&b, post-teen pop, trap soul, urban contemporary, afroswing, alternative r&b, chill r&b, dance pop, hip pop   ☷   ⓘ"
 Los Legendarios,"reggaeton flow, trap latino, reggaeton   ☷   ⓘ"
Billie Eilish,"pop, art pop, electropop   ☷   ⓘ"
Jonas Esticado,"arrocha, forro, sertanejo pop, sertanejo universitario, sertanejo   ☷   ⓘ"
 Polim,chinese melodic rap   ☷   ⓘ
 Young M,"Sorry, that one doesn't seem to be on any of these maps yet."
Th CDM,"brega funk, arrochadeira   ☷   ⓘ"
 Billy Eichner,disney   ☷   ⓘ
Juice WRLD,"melodic rap, chicago rap   ☷   ⓘ"
 Darkoo,"afroswing, london rap, uk hip hop, nigerian pop   ☷   ⓘ"
 Joshi Mizu,"deep german hip hop, german hip hop   ☷   ⓘ"
Ryan Castro,"trap colombiano, trap latino   ☷   ⓘ"
 Jesse,"Sorry, that one doesn't seem to be on any of these maps yet."
 Miley Cyrus,"pop, dance pop, post-teen pop   ☷   ⓘ"
 Roddy Ricch,"melodic rap, rap, trap   ☷   ⓘ"
CORPSE,viral rap   ☷   ⓘ
 KEY,k-pop   ☷   ⓘ
DDG,"rap, trap, viral rap, pop rap   ☷   ⓘ"
Otis Redding,"soul, soul blues, memphis soul, southern soul, classic soul   ☷   ⓘ"
 E,"Sorry, that one doesn't seem to be on any of these maps yet."
Francesca Michielin,"italian pop, italian pop rock, italian adult pop, italian indie pop   ☷   ⓘ"
BROCKHAMPTON,"boy band, rap, hip hop   ☷   ⓘ"
L,"Sorry, that one doesn't seem to be on any of these maps yet."
Wall,"Sorry, that one doesn't seem to be on any of these maps yet."
 Boef,dutch hip hop   ☷   ⓘ
StaySolidRocky,"viral rap, melodic rap   ☷   ⓘ"
Andrew Andraos,"Related artists in: ottawa rap, toronto rap   ☷   ⓘ"
James Bay,"neo mellow, pop   ☷   ⓘ"
El Alfa,"dembow, rap dominicano, trap latino, reggaeton   ☷   ⓘ"
 A Touch Of Class,"bubblegum dance, europop, eurodance   ☷   ⓘ"
 Mavis Staples,"black americana, spirituals, roots rock, folk, soul, southern soul, funk   ☷   ⓘ"
 Sn,"Sorry, that one doesn't seem to be on any of these maps yet."
FRENSHIP,"la pop, indie poptimism, electropop, tropical house, pop dance, pop edm   ☷   ⓘ"
 Big Freedia,"lgbtq+ hip hop, new orleans rap, bounce, trap queen, escape room   ☷   ⓘ"
 Kalush Orchestra,"Related artists in: ukrainian pop, ukrainian rock, ukrainian hip hop, ukrainian viral pop   ☷   ⓘ"
Rvssian,"trap latino, reggaeton, reggaeton flow, latin hip hop   ☷   ⓘ"
Musical Youth,uk reggae   ☷   ⓘ
